#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0015026	Coreceptor activity	5	48	1.82	9.16e-05	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000386559	CD4,CD80,CD28,CD86,CD8A
GO:0001618	Virus receptor activity	5	76	1.62	0.00038	9606.ENSP00000011653,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000332049,9606.ENSP00000368538	CD4,CD80,ICAM1,CD86,TNFRSF4
GO:0005102	Signaling receptor binding	13	1499	0.74	0.00038	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000264832,9606.ENSP00000320084,9606.ENSP00000358490,9606.ENSP00000358501,9606.ENSP00000359663,9606.ENSP00000386559,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000419085	CD4,LAG3,IL2,IFNG,ICAM1,CD276,CD2,CD58,CD40LG,CD8A,TNF,IL10,TIGIT
GO:0038023	Signaling receptor activity	13	1489	0.74	0.00038	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000228434,9606.ENSP00000264246,9606.ENSP00000264832,9606.ENSP00000266557,9606.ENSP00000324890,9606.ENSP00000332049,9606.ENSP00000358490,9606.ENSP00000361359,9606.ENSP00000368538,9606.ENSP00000386559,9606.ENSP00000478699	CD4,LAG3,CD69,CD80,ICAM1,CD27,CD28,CD86,CD2,CD40,TNFRSF4,CD8A,TNFRSF9
GO:0042287	MHC protein binding	3	33	1.76	0.0171	9606.ENSP00000011653,9606.ENSP00000203629,9606.ENSP00000386559	CD4,LAG3,CD8A
GO:0023023	MHC protein complex binding	3	35	1.74	0.0176	9606.ENSP00000011653,9606.ENSP00000386559,9606.ENSP00000497910	CD4,CD8A,B2M
GO:0005125	Cytokine activity	5	234	1.13	0.0180	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000359663,9606.ENSP00000398698,9606.ENSP00000412237	IL2,IFNG,CD40LG,TNF,IL10
GO:0005126	Cytokine receptor binding	5	270	1.07	0.0316	9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000359663,9606.ENSP00000398698,9606.ENSP00000412237	IL2,IFNG,CD40LG,TNF,IL10
GO:0042289	MHC class II protein binding	2	6	2.33	0.0316	9606.ENSP00000011653,9606.ENSP00000203629	CD4,LAG3
